Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
PR Stirling (IRE),2009-2017,44,43,4,975,79,25,731,133.37,0,6,6,121,30
Mohammad Nabi (AFG),2010-2018,60,55,8,961,89,20.44,687,139.88,0,2,3,62,52
MDKJ Perera (SL),2013-2018,32*,32,0,956,84,29.87,696,137.35,0,9,0,95,37
Mahmudullah (BDESH),2007-2018,64*,57,12,940,64*,20.88,803,117.06,0,3,2,68,33
G Gambhir (INDIA),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
LMP Simmons (WI),2007-2017,45,44,6,907,82*,23.86,777,116.73,0,5,6,86,33
Asghar Stanikzai (AFG),2010-2018,51,46,4,907,62,21.59,853,106.33,0,3,2,57,44
GC Wilson (IRE),2008-2017,53,46,6,891,65*,22.27,852,104.57,0,2,4,83,13
NLTC Perera (SL/World),2010-2018,70*,61,21,886,49,22.15,586,151.19,0,0,7,72,43
Mushfiqur Rahim (BDESH),2006-2018,65*,57,11,876,66*,19.04,738,118.69,0,2,3,73,25
KJ Coetzer (SCOT),2008-2017,39,37,2,850,70,24.28,735,115.64,0,2,2,81,28
Samiullah Shenwari (AFG),2010-2017,55,49,9,848,61,21.2,715,118.6,0,2,2,64,29
S Dhawan (INDIA),2011-2018,33,33,3,831,90,27.7,644,129.03,0,6,1,95,26
Q de Kock (SA),2012-2017,31,31,4,801,59,29.66,626,127.95,0,2,3,93,24
E Chigumbura (ZIM),2006-2016,47,46,8,789,54*,20.76,543,145.3,0,3,5,56,46
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26
Sabbir Rahman (BDESH),2014-2018,36*,34,5,776,80,26.75,646,120.12,0,3,0,72,23
KA Pollard (WI),2008-2017,56,48,10,768,63*,20.21,581,132.18,0,2,1,55,39
LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137,0,4,9,68,31
DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34
