Winner,Margin,Target,Opposition,Ground,Match Date,Scorecard,,,,,,,,
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
MN Samuels (WI),2007-2017,60,58,10,1469,89*,30.6,1275,115.21,0,10,0,133,60
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
H Masakadza (ZIM),2006-2018,52,52,2,1460,93*,29.2,1233,118.41,0,10,0,135,54
AD Hales (ENG),2011-2018,52,52,6,1456,116*,31.65,1068,136.32,1,7,4,158,45
MS Dhoni (INDIA),2006-2018,89,78,39,1444,56,37.02,1141,126.55,0,2,1,101,46
SK Raina (INDIA),2006-2018,70,60,11,1425,101,29.08,1071,133.05,1,4,2,129,50
Ahmed Shehzad (PAK),2009-2018,55,55,2,1416,111*,26.71,1223,115.78,1,7,2,154,30
LRPL Taylor (NZ),2006-2018,81,73,17,1415,63,25.26,1169,121.04,0,5,4,91,55
Shahid Afridi (PAK),2006-2016,98,90,12,1405,54*,18.01,932,150.75,0,4,8,102,73
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20
Tamim Iqbal (BDESH/World),2007-2018,62*,62,5,1348,103*,23.64,1159,116.3,1,4,4,149,32
KS Williamson (NZ),2011-2018,51,49,7,1316,73*,31.33,1088,120.95,0,8,2,142,21
HM Amla (SA/World),2009-2017,43,43,6,1277,97*,34.51,963,132.6,0,8,1,146,26
Shakib Al Hasan (BDESH),2006-2017,61,61,8,1223,84,23.07,1009,121.2,0,6,4,121,27
AJ Finch (AUS),2011-2018,36,36,6,1206,156,40.2,795,151.69,1,7,0,120,54
F du Plessis (SA/World),2012-2017,39,39,6,1191,119,36.09,894,133.22,1,7,0,107,38
Yuvraj Singh (INDIA),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
C Munro (NZ),2012-2018,45,42,7,1173,109*,33.51,717,163.59,3,7,4,85,78
DJ Bravo (WI),2006-2016,66,59,12,1142,66*,24.29,981,116.41,0,4,4,67,49
GJ Maxwell (AUS),2012-2018,43,38,7,1072,145*,34.58,647,165.68,2,3,1,99,54
DA Miller (SA/World),2010-2018,60,52,15,1070,101*,28.91,765,139.86,1,1,0,71,48
JC Buttler (ENG),2011-2018,61,53,11,1069,73*,25.45,796,134.29,0,5,3,75,46
AD Mathews (SL),2009-2017,71,56,18,1055,81*,27.76,890,118.53,0,5,0,67,35
WTS Porterfield (IRE),2008-2017,56,54,6,1002,72,20.87,903,110.96,0,3,5,114,20
Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21,825,119.63,0,5,7,100,31
CL White (AUS),2007-2014,47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
PR Stirling (IRE),2009-2017,44,43,4,975,79,25,731,133.37,0,6,6,121,30
Mohammad Nabi (AFG),2010-2018,60,55,8,961,89,20.44,687,139.88,0,2,3,62,52
MDKJ Perera (SL),2013-2018,32*,32,0,956,84,29.87,696,137.35,0,9,0,95,37
Mahmudullah (BDESH),2007-2018,64*,57,12,940,64*,20.88,803,117.06,0,3,2,68,33
G Gambhir (INDIA),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
LMP Simmons (WI),2007-2017,45,44,6,907,82*,23.86,777,116.73,0,5,6,86,33
Asghar Stanikzai (AFG),2010-2018,51,46,4,907,62,21.59,853,106.33,0,3,2,57,44
GC Wilson (IRE),2008-2017,53,46,6,891,65*,22.27,852,104.57,0,2,4,83,13
NLTC Perera (SL/World),2010-2018,70*,61,21,886,49,22.15,586,151.19,0,0,7,72,43
Mushfiqur Rahim (BDESH),2006-2018,65*,57,11,876,66*,19.04,738,118.69,0,2,3,73,25
KJ Coetzer (SCOT),2008-2017,39,37,2,850,70,24.28,735,115.64,0,2,2,81,28
Samiullah Shenwari (AFG),2010-2017,55,49,9,848,61,21.2,715,118.6,0,2,2,64,29
S Dhawan (INDIA),2011-2018,33,33,3,831,90,27.7,644,129.03,0,6,1,95,26
Q de Kock (SA),2012-2017,31,31,4,801,59,29.66,626,127.95,0,2,3,93,24
E Chigumbura (ZIM),2006-2016,47,46,8,789,54*,20.76,543,145.3,0,3,5,56,46
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26
Sabbir Rahman (BDESH),2014-2018,36*,34,5,776,80,26.75,646,120.12,0,3,0,72,23
KA Pollard (WI),2008-2017,56,48,10,768,63*,20.21,581,132.18,0,2,1,55,39
LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137,0,4,9,68,31
DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34
Team 1,Team 2,Num,Tot,Winner,Ground,Match Date,Scorecard,,,,,,,
Bangladesh,Zimbabwe,12,12,Bangladesh,Khulna,28-Nov-06,T20I # 9,,,,,,,
New Zealand,England,12,13,England,Auckland,05-Feb-08,T20I # 53,,,,,,,
Australia,India,11,12,India,Dhaka,30-Mar-14,T20I # 393,,,,,,,
Ireland,P.N.G.,11,13,P.N.G.,Townsville,09-Feb-16,T20I # 495,,,,,,,
Bangladesh,Sri Lanka,11,14,Sri Lanka,Sylhet,18-Feb-18,T20I # 651,,,,,,,
Bangladesh,Sri Lanka,10,12,Sri Lanka,Johannesburg,18-Sep-07,T20I # 38,,,,,,,
Canada,Zimbabwe,10,14,Zimbabwe,King City (NW),13-Oct-08,T20I # 75,,,,,,,
New Zealand,West Indies,10,11,tied,Auckland,26-Dec-08,T20I # 78,,,,,,,
England,West Indies,10,12,West Indies,The Oval,15-Jun-09,T20I # 111,,,,,,,
South Africa,England,10,12,South Africa,Centurion,15-Nov-09,T20I # 125,,,,,,,
New Zealand,Sri Lanka,10,12,New Zealand,Providence,30-Apr-10,T20I # 151,,,,,,,
West Indies,India,10,13,West Indies,Bridgetown,09-May-10,T20I # 169,,,,,,,
South Africa,India,10,12,India,Durban,09-Jan-11,T20I # 196,,,,,,,
Bangladesh,West Indies,10,11,Bangladesh,Dhaka,11-Oct-11,T20I # 209,,,,,,,
England,Pakistan,10,12,England,Dubai (DSC),25-Feb-12,T20I # 228,,,,,,,
Netherlands,Bangladesh,10,12,Netherlands,The Hague,26-Jul-12,T20I # 254,,,,,,,
Afghanistan,Kenya,10,13,Afghanistan,Sharjah,30-Sep-13,T20I # 330,,,,,,,
Kenya,Netherlands,10,13,Netherlands,ICCA Dubai,23-Nov-13,T20I # 344,,,,,,,
Afghanistan,Kenya,10,14,Afghanistan,Sharjah,24-Nov-13,T20I # 345,,,,,,,
Australia,England,10,12,Australia,Sydney,02-Feb-14,T20I # 356,,,,,,,
Bangladesh,Sri Lanka,10,13,Sri Lanka,Chittagong,14-Feb-14,T20I # 358,,,,,,,
Netherlands,South Africa,10,13,South Africa,Chittagong,27-Mar-14,T20I # 386,,,,,,,
England,Sri Lanka,10,12,Sri Lanka,The Oval,20-May-14,T20I # 401,,,,,,,
West Indies,New Zealand,10,12,West Indies,Roseau,06-Jul-14,T20I # 403,,,,,,,
Hong Kong,Nepal,10,11,Hong Kong,Colombo (PSS),24-Nov-14,T20I # 410,,,,,,,
New Zealand,Pakistan,10,12,New Zealand,Dubai (DSC),05-Dec-14,T20I # 412,,,,,,,
Sri Lanka,Pakistan,10,12,Pakistan,Colombo (RPS),01-Aug-15,T20I # 449,,,,,,,
South Africa,New Zealand,10,12,New Zealand,Centurion,16-Aug-15,T20I # 452,,,,,,,
Afghanistan,Zimbabwe,10,12,Afghanistan,Sharjah,10-Jan-16,T20I # 477,,,,,,,
Netherlands,Scotland,10,12,Scotland,ICCA Dubai,05-Feb-16,T20I # 492,,,,,,,
U.A.E.,Ireland,10,11,Ireland,Abu Dhabi,14-Feb-16,T20I # 498,,,,,,,
Bangladesh,U.A.E.,10,11,Bangladesh,Dhaka,26-Feb-16,T20I # 511,,,,,,,
India,Bangladesh,10,12,India,Bengaluru,23-Mar-16,T20I # 547,,,,,,,
Australia,Sri Lanka,10,12,Sri Lanka,Geelong,19-Feb-17,T20I # 597,,,,,,,
Sri Lanka,Bangladesh,10,13,Bangladesh,Colombo (RPS),06-Apr-17,T20I # 607,,,,,,,
New Zealand,West Indies,10,11,New Zealand,Nelson,29-Dec-17,T20I # 636,,,,,,,
